date,country,fx_lcu_per_usd,fx_return,shock_1y,shock_5y,isdRRR,isdRevrepo,isdLDR,isdMLF,isMPR,isFX,isTMLF,event_day,fx_return_lead1,fx_return_01
2008-07-09,idr,9192,-0.11959773102656612,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.21781755507959133,-0.33741528610615745
2008-07-10,idr,9172,-0.21781755507959133,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.0981729012583088,-0.3159904563379001
2008-07-11,idr,9163,-0.0981729012583088,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.08734578566009787,-0.18551868691840667
2008-07-14,idr,9155,-0.08734578566009787,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.39400291749469574,-0.4813487031547936
2008-07-15,idr,9119,-0.39400291749469574,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.14245797160210572,-0.25154494589259
2008-07-16,idr,9132,0.14245797160210572,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.05473753489351196,0.19719550649561768
2008-07-17,idr,9137,0.05473753489351196,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.13124796809140804,0.18598550298492
2008-07-18,idr,9149,0.13124796809140804,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.0218627023171436,0.10938526577426444
2008-07-21,idr,9147,-0.0218627023171436,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.2402272393537075,0.2183645370365639
2008-07-22,idr,9169,0.2402272393537075,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.37150392377931496,-0.13127668442560747
2008-07-23,idr,9135,-0.37150392377931496,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.02189621204280456,-0.3934001358221195
2008-07-24,idr,9133,-0.02189621204280456,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.0328425204111582,0.010946308368353638
2008-07-25,idr,9136,0.0328425204111582,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.25206873996648227,-0.21922621955532406
2008-07-28,idr,9113,-0.25206873996648227,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.2192262195553241,-0.03284252041115818
2008-07-29,idr,9133,0.2192262195553241,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,NA,NA
2008-07-30,idr,NA,NA,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,NA,NA
2008-07-31,idr,9118,NA,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.40661630835590046,NA
2008-08-01,idr,9081,-0.40661630835590046,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.20900948151130191,-0.19760682684459854
2008-08-04,idr,9100,0.20900948151130191,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.1539646185593213,0.055044862951980605
2008-08-05,idr,9086,-0.1539646185593213,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.2534576264567434,-0.4074222450160647
