date,country,fx_lcu_per_usd,fx_return,shock_1y,shock_5y,isdRRR,isdRevrepo,isdLDR,isdMLF,isMPR,isFX,isTMLF,event_day
2006-06-05,idr,NA,NA,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-06-06,idr,9300,NA,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-06-07,idr,9355,0.5896559566842541,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-06-08,idr,9395,0.4266673139374788,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-06-09,idr,9445,0.5307868088044287,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-06-12,idr,9410,-0.37125473561836486,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-06-13,idr,9440,0.31830265601211494,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-06-14,idr,9520,0.8438868645864517,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-06-15,idr,9410,-1.1621895205985666,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-06-16,idr,9320,-0.9610324899789192,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-06-19,idr,9345,0.26788122100267486,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-06-20,idr,9410,0.6931512689762442,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-06-21,idr,9345,-0.6931512689762442,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-06-22,idr,9325,-0.2142475377647557,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-06-23,idr,9405,0.8542497223114509,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-06-26,idr,9405,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-06-27,idr,9380,-0.2661699734860079,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-06-28,idr,9355,-0.26688032920798577,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-06-29,idr,9335,-0.21401827323668243,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-06-30,idr,9300,-0.3756376834475717,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-07-03,idr,9165,-1.4622518867541956,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-07-04,idr,9080,-0.9317688678466496,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-07-05,idr,9075,-0.05508124622881638,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-07-06,idr,9150,0.82304991365163,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-07-07,idr,9070,-0.878161516038567,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
