date,country,fx_lcu_per_usd,fx_return_usd,fx_return_cny,shock_1y,shock_5y,shock_1y_roll,shock_5y_roll,n_events_roll,max_roll_days,ret_cny,d_vix,ret_broad_dollar,ret_brent,d_ust_2y,event_day,event_day_roll,post_split,usd_w0,usd_w01,usd_wm11,usd_w5p1,usd_w5m0,cny_w0,cny_w01,cny_wm11,cny_w5p1,cny_w5m0,ctrl_dollar_w01,ctrl_vix_w01,ctrl_brent_w01,ctrl_ust2y_w01,ctrl_cny_w01
2008-02-18,idr,9137,-0.5348481887118339,NA,0,0,0,0,0,NA,NA,NA,-2.249706131607354e-4,NA,NA,0,0,0,-0.5348481887118339,-0.5129615613537197,-1.3045081175844686,-1.0774441718348626,-1.0993307991929768,NA,NA,NA,NA,NA,0.06971650404494767,NA,NA,NA,NA
2008-02-19,idr,9139,0.021886627358114197,NA,0,0,0,0,0,NA,NA,NA,0.0699414746581084,NA,NA,0,0,0,0.021886627358114197,0.40412921584955797,-0.13071897286227596,-0.7276708730923787,-1.1099134615838224,NA,NA,NA,NA,NA,0.40054477275166533,NA,NA,NA,NA
2008-02-20,idr,9174,0.38224258849144377,0.46621152492063445,0,0,0,0,0,NA,-0.08396893642907965,-1.1900000000000013,0.33060329809355693,0.8722029537262976,8.000000000000007,0,0,0,0.38224258849144377,0.32772587776985773,0.34961250512797193,-1.0307691762875493,-0.9762524655659632,0.46621152492063445,0.45370573765675104,NA,NA,NA,-0.2775800330924838,-0.46999999999999886,0.5037276135808177,-8.000000000000007,-0.1259798598868933
2008-02-21,idr,9169,-0.05451671072158604,-0.012505787263883406,0,0,0,0,0,NA,-0.042010923457813654,0.7200000000000024,-0.6081833311860407,-0.3684753401454799,-16.000000000000014,0,0,0,-0.05451671072158604,0.010899776565409525,0.3931423650568533,-1.019310495306236,-1.0847269825932315,-0.012505787263883406,0.04590765369520966,0.5121191786158441,NA,NA,-0.6169758183496299,-0.33999999999999986,-1.8665146152824441,-16.000000000000014,-0.035007877129800136
2008-02-22,idr,9175,0.06541648728699556,0.058413440959093066,0,0,0,0,0,NA,0.007003046328013518,-1.0600000000000023,-0.008792487163589158,-1.4980392751369642,0,0,0,0,0.06541648728699556,0.07631507593064413,0.02179836520905809,-0.9004671638839667,-0.9113657525276153,0.058413440959093066,-0.10141050385188422,-0.11391629111576762,NA,NA,-0.20163242156057137,-2.09,-0.09233137357664845,14.999999999999991,0.17772557978255055
2008-02-25,idr,9176,0.010898588643648566,-0.15982394481097728,0,0,0,0,0,NA,0.17072253345453703,-1.0299999999999976,-0.19283993439698222,1.4057079015603158,14.999999999999991,0,0,0,0.010898588643648566,-1.08488270230378,-1.0194662150167844,-1.2047018986006464,-0.10892060765321787,-0.15982394481097728,-1.336666301537992,-1.278252860578899,NA,NA,-0.6882068699329835,-2.16,3.054768072291303,6.000000000000005,0.2517835992341011
2008-02-26,idr,9076,-1.0957812909474285,-1.1768423567270148,0,0,0,0,0,NA,0.08106106577956407,-1.1300000000000026,-0.4953669355360013,1.649060170730987,-8.999999999999986,0,0,0,-1.0957812909474285,-1.1949931163151462,-1.1840945276714976,-0.7690655352565301,-0.6698537098888124,-1.1768423567270148,-1.0242705828605203,-1.1840945276714976,NA,NA,-1.3669198223952073,-0.33999999999999986,0.8686376215728764,-12.00000000000001,-0.17072253345453703
2008-02-27,idr,9067,-0.09921182536771767,0.15257177386649445,0,0,0,0,0,NA,-0.2517835992341011,0.7900000000000027,-0.871552886859206,-0.7804225491581107,-3.000000000000025,0,0,0,-0.09921182536771767,0.022033711667823752,-1.0737475792796047,-0.6697066255791029,-0.7909521626146443,0.15257177386649445,0.6948705645362985,-0.4819717921907163,-0.12967655838584946,-0.6719753490556535,-1.2144989779082849,1.6300000000000026,0.7843966203774144,-16.999999999999993,-0.6728368528684525
2008-02-28,idr,9078,0.12124553703554142,0.542298790669804,0,0,0,0,0,NA,-0.4210532536343514,0.8399999999999999,-0.3429460910490789,1.5648191695355251,-13.999999999999968,0,0,0,0.12124553703554142,-0.17661998188849282,-0.2758318072562105,-1.3498147329945809,-1.0519492140705466,0.542298790669804,0.2233384504461533,0.37591022431264776,-0.9148484235301346,-0.5958880833064839,-0.19472707408789702,3.849999999999998,2.6309379706584757,-35.999999999999986,-0.39995843233473494
2008-02-29,idr,9051,-0.29786551892403423,-0.3189603402236507,0,0,0,0,0,NA,0.021094821299616484,3.009999999999998,0.1482190169611819,1.0661188011229505,-22.00000000000002,0,0,0,-0.29786551892403423,0.3189444551408016,0.440189992176343,-0.678488048208159,-1.2952980222729948,-0.3189603402236507,0.41040680365620474,0.9527055943260088,-0.17297549238639576,-0.9023426362662512,0.23158890828893774,2.75,1.9836016835239612,-26.000000000000004,-0.09146234851546975
2008-03-03,idr,9107,0.6168099740648358,0.7293671438798555,0,0,0,0,0,NA,-0.11255716981508623,-0.259999999999998,0.08336989132775585,0.9174828824010106,-3.9999999999999813,0,0,0,0.6168099740648358,0.49595076032016294,0.1980852413961287,-0.8647637492398275,-0.7439045354951546,0.7293671438798555,0.5733202032511819,0.2543598630275312,-0.38743587397416235,-0.23138893334548882,0.15876722047156733,-1.0199999999999996,-2.305866575097415,0,-0.0773694429310412
2008-03-04,idr,9096,-0.1208592137446729,-0.15604694062867352,0,0,0,0,0,NA,0.035187726884045034,-0.7600000000000016,0.07539732914381148,-3.2233494574984256,3.9999999999999813,0,0,0,-0.1208592137446729,-0.3850601600285941,0.23174981403624173,-1.1398632841673972,-0.875662337883476,-0.15604694062867352,-0.4413545813307884,0.28801256254906704,-0.5129195698653,-0.22761192916318507,-0.11859649225050006,-1.6799999999999997,-0.8679411424727057,4.999999999999982,0.05629442130230533
2008-03-05,idr,9072,-0.2642009462839212,-0.2853076407021149,0,0,0,0,0,NA,0.021106694418260297,-0.9199999999999982,-0.19399382139431154,2.35540831502572,1.0000000000000009,0,0,0,-0.2642009462839212,-0.2091014903745858,-0.3299607041192587,0.011017462689366653,-0.04408199321996875,-0.2853076407021149,-0.2076942190033293,-0.3637411596320028,0.7415362085605004,0.6639227868617148,-0.45162818765254187,2.030000000000001,4.821045400827018,-11.99999999999999,-0.0014072713711898999
2008-03-06,idr,9077,0.055099455909335404,0.0776134216987856,0,0,0,0,0,NA,-0.022513965789450197,2.9499999999999993,-0.25763436625823033,2.4656370858012977,-12.99999999999999,0,0,0,0.055099455909335404,NA,NA,NA,0.11022928805708432,0.0776134216987856,NA,NA,NA,0.588964434694006,-0.010214592529855793,2.889999999999997,3.609165618521537,-12.99999999999999,0.04923163583629986
2008-03-07,idr,NA,NA,NA,0,0,0,0,0,NA,0.07174560162575006,-0.060000000000002274,0.24741977372837454,1.1435285327202394,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2696839485826885,1.8299999999999983,1.7816563231590976,-6.000000000000005,0.0014072713711898999
2008-03-10,idr,9108,NA,NA,0,0,0,0,0,NA,-0.07033833025456016,1.8900000000000006,0.02226417485431398,0.6381277904388583,-6.000000000000005,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05794537347858508,-1.129999999999999,2.005364212797822,20.999999999999993,-0.1167887452726113
2008-03-11,idr,9237,1.4064009408981448,1.452851355916085,0,0,0,0,0,NA,-0.04645041501805114,-3.0199999999999996,0.035681198624271104,1.367236422358964,27,0,0,0,1.4064009408981448,0.4928546201149686,NA,NA,NA,1.452851355916085,0.563242460002833,NA,NA,NA,-0.47989086375528345,-2.16,2.4940351396217864,15.99999999999999,-0.07038783988786435
2008-03-12,idr,9153,-0.9135463207831762,-0.889608895913252,0,0,0,0,0,NA,-0.023937424869813206,0.8599999999999994,-0.5155720623795546,1.1267987172628224,-11.00000000000001,0,0,0,-0.9135463207831762,-0.18421200419709294,1.2221889367010519,NA,NA,-0.889608895913252,-0.005246713735207464,1.4476046421808775,NA,NA,-0.9070994538698862,0.9299999999999997,2.2227253281571713,-11.00000000000001,-0.17896529046186327
