date,idr,myr,php,sgd,thb,ret_idr,ret_myr,ret_php,ret_sgd,ret_thb
2014-04-16,11438,3.244,44.526,1.2527,32.286,0.034977265134372715,-0.3231517777138482,0.23834697497702173,-0.09574723463459667,NA
2014-04-17,11418,3.24,NA,1.2507,32.212,-0.175008795105569,-0.12338064489283429,NA,-0.15978272952853478,-0.22946458020389748
2014-04-18,NA,3.24,NA,NA,32.185,NA,0,NA,NA,-0.08385484287192213
2014-04-21,11430,3.248,44.487,NA,32.218,NA,0.24660924951933616,NA,NA,0.10247970711945165
2014-04-22,11486,3.2635,44.405,1.2547,NA,0.4887424635386495,0.47608167937036594,-0.18449359505745555,NA,NA
2014-04-23,11590,3.269,44.517,1.2576,32.383,0.9013754909554805,0.16838886489385363,0.25190629816318477,0.23086425092881668,NA
2014-04-24,11608,3.2635,44.619,1.2563,32.337,0.15518582302256334,-0.16838886489385363,0.22886385864713255,-0.10342496645699972,-0.1421508273979022
2014-04-25,11601,3.2705,44.689,1.2571,32.36,-0.06032142886169822,0.21426393259953436,0.15676090458822678,0.06365879104133221,0.07110067226894223
2014-04-28,11568,3.2715,44.709,1.2567,32.241,-0.28486358768606834,0.030571690852587707,0.044743731031271494,-0.03182432996866602,-0.36841576631649886
2014-04-29,11589,3.263,44.54,1.2565,32.283,0.18137069358452607,-0.2601577716472736,-0.3787161805544059,-0.015915963745197215,0.13018413592393863
2014-04-30,11532,3.2671,44.463,1.2565,32.317,-0.49305925760982916,0.12557236608181643,-0.17302791863338385,0,0.1052631676143001
2014-05-02,11537,3.269,44.541,NA,32.398,0.04334821689973012,0.05813864700718874,0.17527306630809036,NA,0.2503284935438277
2014-05-05,11511,3.258,44.531,1.2509,NA,-0.22561620122285575,-0.3370617562220346,-0.022453745379058532,NA,NA
2014-05-06,11511,3.2587,44.414,1.2506,32.375,0,0.021483266152877434,-0.26308408001098904,-0.023985608749807485,NA
2014-05-07,11527,3.249,44.356,1.2479,32.382,0.13890096859512369,-0.2981086154418833,-0.130674796109842,-0.21612976193888522,0.021619284485918655
2014-05-08,11624,3.2495,44.273,1.2496,32.451,0.8379816649107141,0.01538816653032793,-0.18729766614531407,0.13613615716129013,0.2128546451701574
2014-05-09,11563,3.2265,44.232,1.2476,32.565,-0.5261581121157377,-0.7103179958509065,-0.09265013938843936,-0.16017943517733224,0.3506832682102612
