shock,matching,dropped_date,side,shock_dropped,int_coef,int_se,int_pval,pre_coef,pre_se,pre_pval,int_shift,pre_shift
1Y,rolled,2010-11-11,pre,0.05,-1.8824577448023758,0.8161203856663819,0.02114331287716093,0.4648627015249004,0.34430287498490675,0.17706466709058652,0.03443995825637369,-0.034519742033743916
1Y,rolled,2010-11-22,pre,0.215,-1.8956448805914992,0.8233303758799558,0.021378126454152286,0.4781519528901297,0.3611005191502663,0.18555046242172507,0.021252822467250354,-0.021230490668514623
1Y,rolled,2010-12-13,pre,-0.05,-1.9095645345882692,0.8152644127110177,0.019230270744427826,0.49207353337941023,0.34232118631344777,0.15068808651144397,0.007333168470480267,-0.007308910179234074
1Y,rolled,2011-01-18,pre,0.14,-1.9219111480618245,0.8175065176096104,0.018788376456570072,0.5042990583921725,0.3475775062306566,0.1469100646178301,-0.00501344500307499,0.004916614833528177
1Y,rolled,2011-02-09,pre,0.27,-1.9624022777084758,0.8233108171231128,0.01720658830371842,0.5449257189071347,0.3610470522762817,0.13132614542952342,-0.04550457464972624,0.0455432753484904
1Y,rolled,2011-02-22,pre,0.15,-1.9075461392815698,0.8172319902887512,0.019651339308908486,0.4899853621580278,0.3469175094631776,0.15793364183336098,0.009351563777179717,-0.009397081400616514
1Y,rolled,2011-03-21,pre,0.18,-2.046978496677805,0.8025910315638153,0.010805808369010824,0.6294722264619316,0.310892329371702,0.04298114571368382,-0.13008079361905533,0.13008978290328727
1Y,rolled,2011-04-06,pre,0.02,-1.9186552406440007,0.8145582168980825,0.018562166937677517,0.5011174807883554,0.34059965753406174,0.14131715787680796,-0.001757537585251212,0.0017350372297110783
1Y,rolled,2011-05-13,pre,0.12,-1.886847048857803,0.8166163151645628,0.020922266912712557,0.4693009884273507,0.3454472469383607,0.17439417595944998,0.030050654200946436,-0.030081455131293622
1Y,rolled,2011-06-14,pre,0.18,-1.9693947872058173,0.8153748130690835,0.015778840659575466,0.5519381715105109,0.34257227165963117,0.10724728247413738,-0.052497084147067774,0.05255572795186664
1Y,rolled,2011-07-07,pre,-0.06,-1.8981756980499773,0.8158850283600595,0.020054946209544042,0.4806170405538346,0.34374683324686084,0.1621618387479698,0.01872200500877219,-0.018765403004809722
1Y,rolled,2011-12-01,pre,-0.2,-1.7489762967526454,0.8128751042877159,0.03150665321297106,0.3314104562340059,0.3365385894053853,0.3248179786585773,0.16792140630610408,-0.16797198732463842
1Y,rolled,2012-02-21,pre,-0.12,-1.8765323758852044,0.8181566889204787,0.0218796892174978,0.45911061602297554,0.34916704926495096,0.18864981891702856,0.04036532717354513,-0.04027182753566877
1Y,rolled,2012-05-10,pre,-0.05,-1.9170072995081517,0.8149161313788511,0.018715151203122626,0.4993914297109675,0.3414347963050722,0.14367136241363823,-1.0959644940222724e-4,8.986152323198215e-6
1Y,rolled,2012-05-14,pre,-0.15,-1.9965996655899678,0.8093935427756295,0.013687064763636046,0.5791059834425955,0.3280721879906622,0.07763246048058742,-0.0797019625312183,0.07972353988395114
1Y,rolled,2012-06-08,pre,-0.17,-1.9602999414069076,0.8156848012027743,0.016308323189010297,0.5429036691470387,0.3433263714424328,0.11391062167641247,-0.04340223834815804,0.043521225588394385
1Y,rolled,2012-07-03,pre,-0.02,-1.9077313766940533,0.815123646828305,0.01932534517309769,0.49029448346904214,0.34198635625765383,0.151768483508158,0.009166326364696165,-0.009087960089602165
1Y,rolled,2012-07-06,pre,-0.11,-1.9855864329893547,0.8100454373895061,0.014292916409288517,0.5681022803819062,0.3296758485215255,0.08494967653335211,-0.06868872993060515,0.06871983682326194
1Y,rolled,2012-07-19,pre,0.03,-1.920575469912266,0.8145358612659528,0.01844172411351486,0.5031340026622522,0.34059147233730824,0.13971421451136257,-0.0036777668535163954,0.00375155910360786
1Y,rolled,2012-08-21,pre,0.07,-1.92198366220389,0.814484511394572,0.018348829251640927,0.5044400696511415,0.3404240932728091,0.1384956941250672,-0.0050859591451404285,0.005057626092497214
1Y,rolled,2013-07-30,pre,-0.01,-1.9217022950045766,0.8143132239678907,0.018341384289237973,0.5041199800000904,0.3400004140597926,0.13825497771657527,-0.0048045919458270525,0.0047375364414460885
1Y,rolled,2013-08-06,pre,-0.05,-1.920587906757721,0.8146071583437339,0.018451202032071266,0.5031144043016413,0.34074033870297704,0.13990265678606972,-0.0036902036989714393,0.0037319607429970314
1Y,rolled,2013-08-13,pre,0.0467,-1.9012058193553354,0.815571086287314,0.019810233084688603,0.4835870805116127,0.3429710717120237,0.15864209694065046,0.015691883703414122,-0.015795363047031608
1Y,rolled,2013-10-29,pre,0.0925,-1.878819100673697,0.816865129472621,0.021512485112350724,0.46139253413117753,0.3461279655989876,0.1826262614865821,0.03807860238505256,-0.03798990942746677
1Y,rolled,2014-04-22,pre,-0.02,-1.9254142512886208,0.8140810895471442,0.018084748364967398,0.5080086103009486,0.3395059330433544,0.13467304226107898,-0.008516548229871246,0.008626166742304264
1Y,rolled,2014-06-10,pre,-0.04,-1.9196867742751746,0.814679481918131,0.0185165578207766,0.5021794661329176,0.34090520181930306,0.1408321761109332,-0.002789071216425132,0.0027970225742733335
1Y,rolled,2014-11-24,pre,-0.23,-1.9340803599825311,0.8222838203841887,0.018730958042487818,0.5166189585280611,0.35871006245669373,0.14990833820049557,-0.017182656923781625,0.01723651496941675
1Y,rolled,2015-01-22,pre,0.055,-1.95110952137649,0.8126816621072547,0.01641671586626489,0.5335792251464033,0.336078424078338,0.11246484643838267,-0.03421181831774045,0.03419678158775902
1Y,rolled,2015-02-05,pre,-0.025,-1.9158487159845774,0.814752435183605,0.018762889596105004,0.4983339353505065,0.3410714288093382,0.14409405748342,0.0010489870741721141,-0.0010485082081377883
1Y,rolled,2015-03-02,pre,0.055,-1.89767856351608,0.8158706648312295,0.020085293238133822,0.48017921704813926,0.3437304847196005,0.16252455290247123,0.019219139542669517,-0.019203226510505045
1Y,rolled,2015-03-17,pre,-0.12,-1.9065633044741683,0.8173858531415777,0.01973756428280742,0.48897460800187564,0.3473009055340432,0.15925297214450884,0.010334398584581184,-0.010407835556768663
1Y,rolled,2015-03-24,pre,-0.0617,-1.8751975329951769,0.8165013711981364,0.021706719601211292,0.45766983467451894,0.345245831010899,0.18505867544865917,0.04170017006357263,-0.04171260888412537
1Y,rolled,2015-04-07,pre,-0.075,-1.9308198566902797,0.8142707264507146,0.017790135596354728,0.5132539537563272,0.3398838225386446,0.13112354671081333,-0.013922153631530154,0.013871510197682901
1Y,rolled,2015-04-14,pre,-0.045,-1.9246401454738409,0.8143868225375271,0.018174555016050767,0.507090079905449,0.3402024184549894,0.13618062674940606,-0.007742442415091366,0.007707636346804658
1Y,rolled,2015-04-20,pre,-0.2483,-1.9807566920120026,0.8186914494322644,0.01560271278430927,0.5633388225009591,0.3503970267156776,0.10799954362842035,-0.06385898895325304,0.06395637894231482
1Y,rolled,2015-05-12,pre,-0.1,-1.9467406894069619,0.8140097088846342,0.01683705791492073,0.5292879606616998,0.33931539944557565,0.1188929108502794,-0.029842986348212364,0.0299055171030555
1Y,rolled,2015-06-25,pre,-0.08,-1.9328723168512887,0.8145721261798532,0.017711381811518486,0.5153737641306931,0.3406442531769552,0.13039751192632776,-0.015974613792539172,0.01599132057204883
1Y,rolled,2015-06-29,pre,-0.0467,-1.9265053743507972,0.8143697382691996,0.01806031674134298,0.508910060617217,0.3401271969068296,0.13469460575727363,-0.009607671292047648,0.00952761705857269
1Y,rolled,2015-06-30,pre,-0.0833,-1.884043210014839,0.8166227988241566,0.02111414123806278,0.4666203211487375,0.34558084039827175,0.17703482160649306,0.032854493043910526,-0.03276212240990678
1Y,rolled,2015-08-26,post,-0.15,-2.194294795526499,0.9266455889954437,0.017945825891252463,0.4993861072721797,0.34070638823711175,0.1428215124106035,-0.2773970924677496,3.6637135353845274e-6
1Y,rolled,2015-08-27,post,-0.03,-1.966029529831945,0.8185115238740565,0.016366265716012577,0.4993909289498777,0.34070579679259394,0.14281696233076097,-0.0491318267731955,8.485391233381545e-6
1Y,rolled,2015-10-26,post,-0.09,-1.5638213400947196,0.77939834202942615,0.044895520651217984,0.4993872011592176,0.34070871069733627,0.14282336029198175,0.3530763629640299,4.7576005732796744e-06
1Y,rolled,2015-10-27,post,-0.04,-1.8755284508377978,0.822884815063479,0.022722360660958462,0.49937015664119166,0.34071352196636795,0.14284263519298257,0.04136925222095167,-1.2286917452641877e-5
1Y,rolled,2016-03-01,post,-0.01,-1.9688183295362682,0.8142091533437109,0.015660325635913196,0.49939150337083815,0.3407087767320816,0.14281999651902724,-0.051920626477518717,9.059812193845662e-6
1Y,rolled,2017-02-03,post,0.145,-1.892287983115975,0.971784590078832,0.05159759670669475,0.4993794040490111,0.34071080981318325,0.1428320581400474,0.02460971994277461,-3.0395096332069826e-6
1Y,rolled,2017-03-16,post,0.12,-1.5281069651588257,0.8146814281508203,0.06078911711173099,0.49937408897933927,0.3407124017580346,0.14283817619434713,0.3887907378999238,-8.35457930503658e-6
1Y,rolled,2017-12-14,post,-0.06,-1.999464827745013,0.8323554343128345,0.016356460477290124,0.4993730939053205,0.340710586547835,0.1428368439625731,-0.0825671246862636,-9.349653323831308e-6
1Y,rolled,2018-04-18,post,-0.1025,-2.0235615958644395,0.8757697573806417,0.02091995755682341,0.49938076871940107,0.3407098688065535,0.1428298632841156,-0.10666389280569,-1.6748392432375248e-6
1Y,rolled,2018-06-25,post,-0.015,-1.8964110910068557,0.8154386710861519,0.020102510325691922,0.49938901031990923,0.34070755114059287,0.14282055374225922,0.020486612051893838,6.5667612649256135e-6
1Y,rolled,2018-10-09,post,-0.03,-1.9173025910169414,0.819701253504939,0.01939745080586606,0.49938932030710315,0.340705158173724,0.14281750030086873,-4.048879581919351e-4,6.8767484588394545e-6
1Y,rolled,2019-01-03,post,0.005,-1.898384403326301,0.8150485141997837,0.019914308308627667,0.49935905772958133,0.3407177277932482,0.14285644515794826,0.01851329973244842,-2.338582906297182e-5
1Y,rolled,2019-01-07,post,-0.06,-2.363591490899135,0.7157347246579198,9.697600240781032e-4,0.4993674944508887,0.3407095694906429,0.14284013071816667,-0.4466937878403856,-1.494910775562408e-5
1Y,rolled,2019-05-06,post,-0.045,-1.8888327404387437,0.8211724586062447,0.021505120604831045,0.4993773328820589,0.3407114115963468,0.14283442043164196,0.028064962620005796,-5.110676585429186e-6
1Y,rolled,2019-09-09,post,0.01375,-1.9088781244052406,0.815392149474883,0.019292531136648715,0.4993813885909971,0.3407089406069161,0.14282827921590086,0.008019578653508885,-1.0549676471849345e-6
1Y,rolled,2019-11-05,post,-0.07,-2.0080159184507567,0.8334703436795811,0.016044626986856922,0.4994000613240631,0.340703157347626,0.14280656353917653,-0.09111821539200715,1.7617765418809217e-5
1Y,rolled,2019-11-18,post,-0.0725,-1.9967772112134938,0.8363617084951755,0.017025137633764176,0.49938470151679865,0.3407072979476669,0.14282370338479866,-0.07987950815474432,2.257958154339157e-6
1Y,rolled,2020-01-23,post,-0.0075,-1.9165713527654447,0.8147930020878404,0.018724171641921687,0.49939259034071726,0.3407052389048804,0.14281497941045565,3.2635029330485565e-4,1.0146782072950611e-5
1Y,rolled,2020-02-03,post,-0.13,-1.8625282960482454,0.903425091334778,0.03932637577826999,0.4993737237591934,0.3407137832109386,0.1428400880108617,0.05436940701050408,-8.719799450884747e-6
1Y,rolled,2020-03-16,post,-0.00125,-1.9147725500458084,0.8141847745146887,0.018746902953414822,0.4993842171241197,0.34070562495651446,0.14282212941643768,0.002125153012941139,1.7735654753714414e-6
1Y,rolled,2020-03-30,post,-0.045,-1.8266274577002133,0.8193835822570054,0.02586750425802598,0.49937924026520325,0.3407046541980475,0.1428249721892264,0.09027024535853623,-3.2032934410564096e-6
